date,description,amount,type,balance,raw
2026-03-27,PAYMENT - THANK YOU,509.39,credit,,27 MAR 27 MAR PAYMENT - THANK YOU 509.39CR
2026-03-15,BASE CASHBACK CREDIT,0.16,credit,,15 MAR 13 MAR BASE CASHBACK CREDIT 0.16CR
2026-03-24,AP BHPETROL JLN KLANG LAM KUALA LUMPUR,-4.0,debit,,24 MAR 19 MAR AP BHPETROL JLN KLANG LAM KUALA LUMPUR 4.00
2026-03-24,AP JAYA GROCER-SUNWAY GEO SUBANG JAYA,-4.0,debit,,24 MAR 21 MAR AP JAYA GROCER-SUNWAY GEO SUBANG JAYA 4.00
2026-03-24,AP SHINSUNMI - SUNWAY GEO SUBANG JAYA,-13.0,debit,,24 MAR 21 MAR AP SHINSUNMI - SUNWAY GEO SUBANG JAYA 13.00
2026-03-26,AP SHELL-FIZANA EMPIRE SEBERANG PRAI,-5.4,debit,,26 MAR 25 MAR AP SHELL-FIZANA EMPIRE SEBERANG PRAI 5.40
2026-03-30,AP JAYA GROCER-STARLING PETALING JAYA,-39.55,debit,,30 MAR 29 MAR AP JAYA GROCER-STARLING PETALING JAYA 39.55
2026-03-30,AP JAYA GROCER-STARLING PETALING JAYA,-2.95,debit,,30 MAR 29 MAR AP JAYA GROCER-STARLING PETALING JAYA 2.95
2026-03-31,AP DE MARKET KUALA LUMPUR,-8.9,debit,,31 MAR 30 MAR AP DE MARKET KUALA LUMPUR 8.90
2026-04-06,AP CTM SUNWAY SQUARE = SELANGOR,-9.9,debit,,6 APR 05 APR AP CTM SUNWAY SQUARE = SELANGOR 9.90
2026-04-06,AP mykkvterminal KKV BUSI PETALING JAYA,-9.9,debit,,6 APR 05 APR AP mykkvterminal KKV BUSI PETALING JAYA 9.90
2026-04-08,AP OMEGA PORK NOODLE KUALA LUMPUR,-18.45,debit,,8 APR 07 APR AP OMEGA PORK NOODLE KUALA LUMPUR 18.45
2026-04-12,LEGEND HOME APPLIANC - 8/ 24 INSTALMENT Your charge(s) for this month RM115.89 ***Please forward your payment by 03 MAY 2026. Thank You. Bb 4Y3b4800001L73774b DOO00D53255 DOOOOYLbLbLL 000460-002538-002533/03-06 instalment PI Principal _| Annual Rate Monthly Month — | Unbilled Principal nstaimenerran Amount (RM) (%) aM) Unbilled Amount (RM) LEGEND HOME,-416.66,debit,,12 APR 12 APR LEGEND HOME APPLIANC - 8/ 24 INSTALMENT 416.66 Your charge(s) for this month RM115.89 ***Please forward your payment by 03 MAY 2026. Thank You. Bb 4Y3b4800001L73774b DOO00D53255 DOOOOYLb
