date,description,amount,type,balance,raw
2026-03-02,PAYMENT - THANK YOU,4.31,credit,,2 MAR 02 MAR PAYMENT - THANK YOU 4.31CR
2026-02-15,BASE CASHBACK CREDIT,0.02,credit,,15 FEB 13 FEB BASE CASHBACK CREDIT 0.02CR
2026-02-22,AP MCDONALD'S-SHELL TMN D KUALA LUMPUR,-25.85,debit,,22 FEB 20 FEB AP MCDONALD'S-SHELL TMN D KUALA LUMPUR 25.85
2026-02-22,AP ZUS COFFEE-BANDAR DAMA KUALA LUMPUR,-11.2,debit,,22 FEB 20 FEB AP ZUS COFFEE-BANDAR DAMA KUALA LUMPUR 11.20
2026-02-22,AP IKEA DAMANSARA PETALING JAYA,-15.0,debit,,22 FEB 21 FEB AP IKEA DAMANSARA PETALING JAYA 15.00
2026-02-26,AP DE MARKET KUALA LUMPUR,-8.2,debit,,26 FEB 25 FEB AP DE MARKET KUALA LUMPUR 8.20
2026-03-01,AP AEON BIG-MID VALLEY KUALA LUMPUR,-14.3,debit,,1 MAR 28 FEB AP AEON BIG-MID VALLEY KUALA LUMPUR 14.30
2026-03-09,AP ACE -MV KUALA LUMPUR,-15.0,debit,,9 MAR 07 MAR AP ACE -MV KUALA LUMPUR 15.00
2026-03-10,AP BHPETROL JLN KLANG LAM KUALA LUMPUR,-3.2,debit,,10 MAR 09 MAR AP BHPETROL JLN KLANG LAM KUALA LUMPUR 3.20
2026-03-12,"LEGEND HOME APPLIANC - 7/ 24 INSTALMENT Your charge(s) for this month RM92.73 ***Please forward your payment by 01 APR 2026. Thank You. Summary of Instalment Plan instalment Plan Principal _| Annual Rate Monthly Month — | Unbilled Principal Amount (RM) (%) aM) Unbilled | Amount (RM) LEGEND HOME 6 APPLIANCES 10,000.00 0.00% 416.66 7,083.38 Bb 43b480000173774b DOO0050930 ODOOOOYLbLLL",-416.66,debit,,12 MAR 12 MAR LEGEND HOME APPLIANC - 7/ 24 INSTALMENT 416.66 Your charge(s) for this month RM92.73 ***Please forward your payment by 01 APR 2026. Thank You. Summary of Instalment Plan instalment Plan 
