date,description,amount,type,balance,raw
2025-09-22,PAYMENT REC'D WITH THANKS-IBG,4000.0,credit,,"22 SEP PAYMENT REC'D WITH THANKS-IBG 4,000.00 CR"
2025-10-06,PAYMENT REC'D WITH THANKS-DUITNOW,7553.0,credit,,"06 OCT PAYMENT REC'D WITH THANKS-DUITNOW 7,553.00 CR"
2025-10-16,CASH REBATE GRAB,0.04,credit,,16 OCT CASH REBATE GRAB 0.04 CR
2025-10-16,CASH REBATE DINING,0.22,credit,,16 OCT CASH REBATE DINING 0.22 CR
2025-10-16,CASH REBATE GROCERY,0.36,credit,,16 OCT CASH REBATE GROCERY 0.36 CR
2025-10-16,CASH REBATE OTHERS,0.47,credit,,16 OCT CASH REBATE OTHERS 0.47 CR
2025-09-18,GRAB RIDES-EC PETALING JAYA MY,-3.0,debit,,18 SEP GRAB RIDES-EC PETALING JAYA MY 3.00
2025-09-18,GRAB RIDES-EC PETALING JAYA MY,-16.0,debit,,18 SEP GRAB RIDES-EC PETALING JAYA MY 16.00
2025-09-21,AEON CO-MID VALLEY KUALA LUMPUR MY,-90.0,debit,,21 SEP AEON CO-MID VALLEY KUALA LUMPUR MY 90.00
2025-09-21,AEON CO-MID VALLEY KUALA LUMPUR MY,-90.0,debit,,21 SEP AEON CO-MID VALLEY KUALA LUMPUR MY 90.00
2025-10-03,HAI KAH LANG-SRI PETALING KUALA LUMPUR MY,-109.8,debit,,03 OCT HAI KAH LANG-SRI PETALING KUALA LUMPUR MY 109.80
2025-10-10,CHIN ORTHOPAEDIC CLINIC KUALA LUMPUR MY,-120.0,debit,,10 OCT CHIN ORTHOPAEDIC CLINIC KUALA LUMPUR MY 120.00
2025-10-13,BIG PHARMACY DESA KUALA LUMPUR MY,-115.9,debit,,13 OCT BIG PHARMACY DESA KUALA LUMPUR MY 115.90
