date,description,amount,type,balance,raw
2025-08-21,PAYMENT REC'D WITH THANKS-DUITNOW,2360.0,credit,,"21 AUG PAYMENT REC'D WITH THANKS-DUITNOW 2,360.00 CR"
2025-09-16,CASH REBATE GROCERY,14.56,credit,,16 SEP CASH REBATE GROCERY 14.56 CR
2025-09-16,CASH REBATE DINING,15.0,credit,,16 SEP CASH REBATE DINING 15.00 CR
2025-09-16,CASH REBATE OTHERS,22.21,credit,,16 SEP CASH REBATE OTHERS 22.21 CR
2025-08-17,ORIENTAL MART-3 DAMANS PETALING JAYA MY,-23.5,debit,,17 AUG ORIENTAL MART-3 DAMANS PETALING JAYA MY 23.50
2025-08-18,BIG BABA @ TAMAN DESA KUALA LUMPUR MY,-204.95,debit,,18 AUG BIG BABA @ TAMAN DESA KUALA LUMPUR MY 204.95
2025-08-20,GLENEAGLES KUALA LUMPUR KUALA LUMPUR MY,-172.45,debit,,20 AUG GLENEAGLES KUALA LUMPUR KUALA LUMPUR MY 172.45
2025-08-20,CHIN ORTHOPAEDIC CLINIC KUALA LUMPUR MY,-200.0,debit,,20 AUG CHIN ORTHOPAEDIC CLINIC KUALA LUMPUR MY 200.00
2025-08-22,INSIDE SCOOP-S.PETALIN KUALA LUMPUR MY,-29.9,debit,,22 AUG INSIDE SCOOP-S.PETALIN KUALA LUMPUR MY 29.90
2025-08-28,MR DIY (KUCHAI)-PPS KUALA LUMPUR MY,-58.9,debit,,28 AUG MR DIY (KUCHAI)-PPS KUALA LUMPUR MY 58.90
2025-08-30,YUAN YUAN TEA STYLE KUALA LUMPUR MY,-75.85,debit,,30 AUG YUAN YUAN TEA STYLE KUALA LUMPUR MY 75.85
2025-08-30,LEE VETERINARY CLINIC KUALA LUMPUR MY,-156.0,debit,,30 AUG LEE VETERINARY CLINIC KUALA LUMPUR MY 156.00
2025-08-30,LEE VETERINARY CLINIC KUALA LUMPUR MY,-231.0,debit,,30 AUG LEE VETERINARY CLINIC KUALA LUMPUR MY 231.00
2025-08-31,LEGEND KITCHEN-KJG KAJANG MY,-10000.0,debit,,"31 AUG LEGEND KITCHEN-KJG KAJANG MY 10,000.00"
2025-09-01,JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY,-145.6,debit,,01 SEP JAYA GROCER-PEARL SHOPPIN KUALA LUMPUR MY 145.60
2025-09-01,HERBALINE BEAUTY-OU KUALA LUMPUR MY,-232.0,debit,,01 SEP HERBALINE BEAUTY-OU KUALA LUMPUR MY 232.00
