date,description,amount,type,balance,raw
2025-05-20,UNLIMITED CASH REBATE,3.0,credit,,21 MAY 20 MAY UNLIMITED CASH REBATE 3.00CR
2025-05-20,CASH REBATE,5.0,credit,,21 MAY 20 MAY CASH REBATE 5.00CR
2025-05-20,DE MARKET KUALA LUMPUR,-37.5,debit,,22 MAY 20 MAY DE MARKET KUALA LUMPUR MY 37.50
2025-05-22,MOOKATA THAI BBQ-CHR KUALA LUMPU,-198.25,debit,,25 MAY 22 MAY MOOKATA THAI BBQ-CHR KUALA LUMPU MY 198.25
2025-05-23,MALA PARADISE KUALA LUMPUR,-84.3,debit,,25 MAY 23 MAY MALA PARADISE KUALA LUMPUR MY 84.30
2025-05-24,MCDONALD'S-SHELL TMN D KUALA LUM,-23.55,debit,,27 MAY 24 MAY MCDONALD'S-SHELL TMN D KUALA LUM MY 23.55
2025-05-24,COTTON ON MALAYSIA S Kuala Lumpu,-30.3,debit,,25 MAY 24 MAY COTTON ON MALAYSIA S Kuala Lumpu MY 30.30
2025-05-25,JAYA GROCER-PEARL SHOP KUALA LUM,-66.95,debit,,27 MAY 25 MAY JAYA GROCER-PEARL SHOP KUALA LUM MY 66.95
2025-05-25,JAYA GROCER-PEARL SHOP KUALA LUM,-9.9,debit,,27 MAY 25 MAY JAYA GROCER-PEARL SHOP KUALA LUM MY 9.90
2025-05-26,BREW & BREAD-TMN DESA KUALA LUMP,-18.0,debit,,28 MAY 26 MAY BREW & BREAD-TMN DESA KUALA LUMP MY 18.00
2025-05-28,MENYA HANABI-SP KUALA LUMPUR,-59.36,debit,,30 MAY 28 MAY MENYA HANABI-SP KUALA LUMPUR MY 59.36
2025-05-28,RT PASTRY-T.DESA KUALA LUMPUR,-20.7,debit,,30 MAY 28 MAY RT PASTRY-T.DESA KUALA LUMPUR MY 20.70
2025-05-29,ALOE MIND PETALING JAYAMY,-220.0,debit,,01 JUN 29 MAY ALOE MIND PETALING JAYAMY 220.00
2025-05-30,RITMA PRESTASI SB-EXHI PUCHONG,-208.0,debit,,02 JUN 30 MAY RITMA PRESTASI SB-EXHI PUCHONG MY 208.00
2025-05-31,ORIENTAL KOPI-PAVILION KUALA LUM,-72.55,debit,,02 JUN 31 MAY ORIENTAL KOPI-PAVILION KUALA LUM MY 72.55
2025-05-31,KKV-PAVILION BKT JALIL KUALA LUM,-17.7,debit,,02 JUN 31 MAY KKV-PAVILION BKT JALIL KUALA LUM MY 17.70
2025-05-31,TFM-BUKIT JALIL KUALA LUMPUR,-2.7,debit,,02 JUN 31 MAY TFM-BUKIT JALIL KUALA LUMPUR MY 2.70
2025-05-31,TFM-BUKIT JALIL KUALA LUMPUR,-66.0,debit,,02 JUN 31 MAY TFM-BUKIT JALIL KUALA LUMPUR MY 66.00
2025-05-31,MY BEAUTY & COSMETICS SHAH ALAM,-57.9,debit,,02 JUN 31 MAY MY BEAUTY & COSMETICS SHAH ALAM MY 57.90
2025-06-01,SHIN ZUSHI JAPANESE KUALA LUMPUR,-120.65,debit,,03 JUN 01 JUN SHIN ZUSHI JAPANESE KUALA LUMPUR MY 120.65
2025-06-01,AA PHARMACY-B. JALIL-2 KUALA LUM,-11.0,debit,,03 JUN 01 JUN AA PHARMACY-B. JALIL-2 KUALA LUM MY 11.00
2025-06-01,LEE VETERINARY CLINIC KUALA LUMP,-10.0,debit,,03 JUN 01 JUN LEE VETERINARY CLINIC KUALA LUMP MY 10.00
2025-06-01,Ezypay*Anytime Fitness Kuala Lum,-192.78,debit,,02 JUN 01 JUN Ezypay*Anytime Fitness Kuala Lum MY 192.78
2025-06-02,NSK GROCER-3 DAMANSARA PETALING JAY,-90.7,debit,,04 JUN 02 JUN NSK GROCER-3 DAMANSARA PETALING JAY 90.70
2025-06-02,DE MARKET KUALA LUMPUR,-15.6,debit,,04 JUN 02 JUN DE MARKET KUALA LUMPUR MY 15.60
2025-06-02,ORIENTAL MART-3 DAMANS PETALING JAY,-35.35,debit,,04 JUN 02 JUN ORIENTAL MART-3 DAMANS PETALING JAY 35.35
2025-06-03,ECONSAVE-SCOTT GARDEN KUALA LUMP,-6.05,debit,,05 JUN 03 JUN ECONSAVE-SCOTT GARDEN KUALA LUMP MY 6.05
2025-06-03,LEE VETERINARY CLINIC KUALA LUMP,-48.0,debit,,05 JUN 03 JUN LEE VETERINARY CLINIC KUALA LUMP MY 48.00
2025-06-03,SSF - SCOTT GARDEN KUALA LUMPUR,-43.0,debit,,03 JUN 03 JUN SSF - SCOTT GARDEN KUALA LUMPUR MY 43.00
2025-06-06,NSK KUCHAI LAMA KUALA LUMPUR,-28.7,debit,,08 JUN 06 JUN NSK KUCHAI LAMA KUALA LUMPUR MY 28.70
2025-06-07,TAIER - 1 UTAMA PETALING JAYAMY,-147.32,debit,,09 JUN 07 JUN TAIER - 1 UTAMA PETALING JAYAMY 147.32
2025-06-07,AEON CO-BANDAR UTAMA PETALING JAYAM,-57.3,debit,,09 JUN 07 JUN AEON CO-BANDAR UTAMA PETALING JAYAM 57.30
2025-06-07,AEON CO-BANDAR UTAMA PETALING JAYAM,-50.0,debit,,09 JUN 07 JUN AEON CO-BANDAR UTAMA PETALING JAYAM 50.00
2025-06-08,YI FENG RESTAURANT KUALA LUMPUR,-38.4,debit,,10 JUN 08 JUN YI FENG RESTAURANT KUALA LUMPUR MY 38.40
2025-06-08,AEON BIG-MID VALLEY KUALA LUMPUR,-22.85,debit,,10 JUN 08 JUN AEON BIG-MID VALLEY KUALA LUMPUR MY 22.85
