date,description,amount,type,balance,raw
2025-04-19,CHRISTINE'S BAKERY - S SELANGOR,-118.55,debit,,21 APR 19 APR CHRISTINE'S BAKERY - S SELANGOR MY 118.55
2025-04-19,GUARDIAN SUNWAY GEO BA SELANGOR,-148.85,debit,,21 APR 19 APR GUARDIAN SUNWAY GEO BA SELANGOR MY 148.85
2025-04-20,LEE VETERINARY CLINIC KUALA LUMP 5521-1540-1102-1221,-122.0,debit,,22 APR 20 APR LEE VETERINARY CLINIC KUALA LUMP MY 122.00
2025-04-24,BAAN THAI 2 SEAFOOD RE KUALA LUM,-143.4,debit,,26 APR 24 APR BAAN THAI 2 SEAFOOD RE KUALA LUM MY 143.40
2025-04-27,GOGO STEAMBOAT-S.PTL KUALA LUMPU,-100.9,debit,,29 APR 27 APR GOGO STEAMBOAT-S.PTL KUALA LUMPU MY 100.90
2025-04-29,6IXTY 8IGHT - AVENUE K KUALA LUM,-58.3,debit,,02 MAY 29 APR 6IXTY 8IGHT - AVENUE K KUALA LUM MY 58.30
2025-04-29,ALOE MIND PETALING JAYAMY,-220.0,debit,,02 MAY 29 APR ALOE MIND PETALING JAYAMY 220.00
2025-05-01,BREW & BREAD-TMN DESA KUALA LUMP,-18.6,debit,,03 MAY 01 MAY BREW & BREAD-TMN DESA KUALA LUMP MY 18.60
2025-05-01,WATSON'S DAMAI PERDANA SELANGOR,-43.95,debit,,03 MAY 01 MAY WATSON'S DAMAI PERDANA SELANGOR MY 43.95
2025-05-01,Ezypay*Anytime Fitness Kuala Lum,-192.78,debit,,02 MAY 01 MAY Ezypay*Anytime Fitness Kuala Lum MY 192.78
2025-05-02,SAUSAGE & RIBS SHACK KUALA LUMPU,-95.1,debit,,04 MAY 02 MAY SAUSAGE & RIBS SHACK KUALA LUMPU MY 95.10
2025-05-04,WALLACE & COTTI-TDD KL KUALA LUM,-34.0,debit,,06 MAY 04 MAY WALLACE & COTTI-TDD KL KUALA LUM MY 34.00
2025-05-07,GOOD TASTE TAMAN DESA KUALA LUMP,-42.35,debit,,07 MAY 07 MAY GOOD TASTE TAMAN DESA KUALA LUMP MY 42.35
2025-05-07,JAYA GROCER-PEARL SHOP KUALA LUM,-46.95,debit,,09 MAY 07 MAY JAYA GROCER-PEARL SHOP KUALA LUM MY 46.95
2025-05-08,REST SAN CHING SAN-OUG KUALA LUM,-29.4,debit,,11 MAY 08 MAY REST SAN CHING SAN-OUG KUALA LUM MY 29.40
2025-05-08,AUSTRALIAN BAKERY SINC KUALA LUM,-17.8,debit,,10 MAY 08 MAY AUSTRALIAN BAKERY SINC KUALA LUM MY 17.80
2025-05-08,AIA BHD-RECURRING 5769286A02,-317.67,debit,,10 MAY 08 MAY AIA BHD-RECURRING 5769286A02 MY 317.67
2025-05-08,AIA VITALITY VA08648460,-10.0,debit,,10 MAY 08 MAY AIA VITALITY VA08648460 MY 10.00
2025-05-10,SAUSAGE & RIBS SHACK KUALA LUMPU,-124.1,debit,,12 MAY 10 MAY SAUSAGE & RIBS SHACK KUALA LUMPU MY 124.10
2025-05-10,IPY*HO KOW HAINAM KOPI W.P. KUALA L,-52.4,debit,,12 MAY 10 MAY IPY*HO KOW HAINAM KOPI W.P. KUALA L 52.40
2025-05-11,NSK GROCER-3 DAMANSARA PETALING JAY,-212.5,debit,,13 MAY 11 MAY NSK GROCER-3 DAMANSARA PETALING JAY 212.50
2025-05-12,BAIWEI MINIBOWL SDN BH KEDAH,-42.1,debit,,14 MAY 12 MAY BAIWEI MINIBOWL SDN BH KEDAH MY 42.10
2025-05-13,TRANSFER / TOP-UP THANK YOU-CLICKS,2475.64,credit,,"13 MAY 13 MAY TRANSFER / TOP-UP THANK YOU-CLICKS 2,475.64CR"
2025-05-14,ALOE MIND PETALING JAYAMY,-220.0,debit,,16 MAY 14 MAY ALOE MIND PETALING JAYAMY 220.00
2025-05-15,MUSEE PLATINUM TOKYO-6M : 01/06,-171.7,debit,,15 MAY 15 MAY MUSEE PLATINUM TOKYO-6M : 01/06 171.70
2025-05-15,GUARDIAN MID VALLEY ME KUALA LUM,-31.2,debit,,17 MAY 15 MAY GUARDIAN MID VALLEY ME KUALA LUM MY 31.20
2025-05-18,RESTORAN DE HUNAN-KUCH KUALA LUM,-139.2,debit,,20 MAY 18 MAY RESTORAN DE HUNAN-KUCH KUALA LUM MY 139.20
2025-05-18,65 ONDO SDN BHD KUALA LUMPUR,-22.9,debit,,20 MAY 18 MAY 65 ONDO SDN BHD KUALA LUMPUR MY 22.90
2025-05-20,FINANCE CHARGES,-5.57,debit,,20 MAY 20 MAY FINANCE CHARGES 5.57
2025-04-23,BREW & BREAD-TMN DESA KUALA LUMP,-36.0,debit,,25 APR 23 APR BREW & BREAD-TMN DESA KUALA LUMP MY 36.00
2025-04-27,LEE VETERINARY CLINIC KUALA LUMP,-233.0,debit,,29 APR 27 APR LEE VETERINARY CLINIC KUALA LUMP MY 233.00
2025-05-13,TRANSFER / TOP-UP THANK YOU-CLICKS,660.0,credit,,13 MAY 13 MAY TRANSFER / TOP-UP THANK YOU-CLICKS 660.00CR
